n,J,magnitude,noise_label,rho,valid_runs,top1_rwa,top2_rwa,top3_rwa,top1_pls,top2_pls,top3_pls
50,15,high,high,0.0,1000,0.727,0.498,0.4203333333333313,1.0,0.572,0.4683333333333318
100,7,low,low,0.0,1000,0.831,0.5755,0.5513333333333341,1.0,0.6325,0.5993333333333337
100,7,low,low,0.5,166,0.6867469879518072,0.6265060240963856,0.5883534136546189,1.0,0.8072289156626506,0.678714859437752
100,7,low,low,0.95,56,0.5357142857142857,0.6607142857142857,0.5952380952380955,1.0,0.9642857142857143,0.6904761904761905
100,7,low,medium,0.0,1000,0.787,0.5665,0.5500000000000006,1.0,0.6155,0.5903333333333343
100,7,low,medium,0.5,166,0.6265060240963856,0.6024096385542169,0.5883534136546188,1.0,0.8132530120481928,0.6746987951807238
100,7,low,medium,0.95,56,0.5,0.6785714285714286,0.619047619047619,0.9821428571428571,0.9553571428571429,0.7023809523809522
100,7,low,high,0.0,1000,0.642,0.5375,0.5433333333333331,0.99,0.5975,0.567666666666667
100,7,low,high,0.5,166,0.5180722891566265,0.5421686746987951,0.5682730923694783,0.9578313253012049,0.7620481927710844,0.634538152610442
100,7,low,high,0.95,56,0.48214285714285715,0.6517857142857143,0.6071428571428571,0.9821428571428571,0.9107142857142857,0.6904761904761905
100,7,medium,low,0.0,1000,0.831,0.5725,0.5493333333333342,1.0,0.63,0.6040000000000001
100,7,medium,low,0.5,166,0.6626506024096386,0.6325301204819277,0.5863453815261049,1.0,0.8072289156626506,0.678714859437752
100,7,medium,low,0.95,56,0.5357142857142857,0.6696428571428571,0.6011904761904763,1.0,0.9642857142857143,0.6964285714285714
100,7,medium,medium,0.0,1000,0.818,0.575,0.5490000000000009,1.0,0.632,0.5926666666666672
100,7,medium,medium,0.5,166,0.6927710843373494,0.6234939759036144,0.5843373493975907,1.0,0.8042168674698795,0.6807228915662661
100,7,medium,medium,0.95,56,0.5357142857142857,0.6785714285714286,0.6071428571428573,1.0,0.9553571428571429,0.6904761904761905
100,7,medium,high,0.0,1000,0.787,0.5665,0.5500000000000006,1.0,0.6155,0.5903333333333343
100,7,medium,high,0.5,166,0.6265060240963856,0.6024096385542169,0.5883534136546188,1.0,0.8132530120481928,0.6746987951807238
100,7,medium,high,0.95,56,0.5,0.6785714285714286,0.619047619047619,0.9821428571428571,0.9553571428571429,0.7023809523809522
100,7,high,low,0.0,1000,0.828,0.574,0.5496666666666676,1.0,0.629,0.6016666666666668
100,7,high,low,0.5,166,0.6626506024096386,0.6325301204819277,0.5883534136546189,1.0,0.8102409638554217,0.676706827309238
100,7,high,low,0.95,56,0.5357142857142857,0.6607142857142857,0.5952380952380955,1.0,0.9642857142857143,0.6964285714285714
100,7,high,medium,0.0,1000,0.829,0.5765,0.5520000000000009,1.0,0.631,0.5980000000000004
100,7,high,medium,0.5,166,0.6927710843373494,0.6265060240963856,0.5843373493975907,1.0,0.8042168674698795,0.6827309236947802
100,7,high,medium,0.95,56,0.5357142857142857,0.6607142857142857,0.5952380952380955,1.0,0.9642857142857143,0.6904761904761905
100,7,high,high,0.0,1000,0.818,0.575,0.5490000000000009,1.0,0.632,0.5926666666666672
100,7,high,high,0.5,166,0.6927710843373494,0.6234939759036144,0.5843373493975907,1.0,0.8042168674698795,0.6807228915662661
100,7,high,high,0.95,56,0.5357142857142857,0.6785714285714286,0.6071428571428573,1.0,0.9553571428571429,0.6904761904761905
100,11,low,low,0.0,1000,0.839,0.539,0.46966666666666496,1.0,0.5955,0.5053333333333325
100,11,low,low,0.5,4,0.5,0.5,0.5833333333333333,1.0,0.625,0.5833333333333333
100,11,low,low,0.95,3,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0
100,11,low,medium,0.0,1000,0.766,0.5255,0.47233333333333205,1.0,0.5795,0.4943333333333324
100,11,low,medium,0.5,4,0.5,0.5,0.5833333333333334,1.0,0.5,0.7499999999999999
100,11,low,medium,0.95,3,1.0,0.6666666666666666,1.0,1.0,0.5,1.0
100,11,low,high,0.0,1000,0.566,0.459,0.441333333333332,0.987,0.5645,0.4703333333333324
100,11,low,high,0.5,4,0.5,0.5,0.5833333333333333,1.0,0.5,0.8333333333333333
100,11,low,high,0.95,3,1.0,0.6666666666666666,1.0,1.0,0.5,0.8888888888888888
100,11,medium,low,0.0,1000,0.846,0.54,0.4699999999999981,1.0,0.5965,0.5053333333333326
100,11,medium,low,0.5,4,0.5,0.5,0.5833333333333333,1.0,0.625,0.5833333333333333
100,11,medium,low,0.95,3,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0
100,11,medium,medium,0.0,1000,0.829,0.538,0.4726666666666652,1.0,0.596,0.5066666666666656
100,11,medium,medium,0.5,4,0.5,0.5,0.5,1.0,0.625,0.6666666666666666
100,11,medium,medium,0.95,3,1.0,0.6666666666666666,1.0,1.0,0.5,1.0
100,11,medium,high,0.0,1000,0.766,0.5255,0.47233333333333205,1.0,0.5795,0.4943333333333324
100,11,medium,high,0.5,4,0.5,0.5,0.5833333333333334,1.0,0.5,0.7499999999999999
100,11,medium,high,0.95,3,1.0,0.6666666666666666,1.0,1.0,0.5,1.0
100,11,high,low,0.0,1000,0.849,0.5405,0.46999999999999803,1.0,0.597,0.5023333333333324
100,11,high,low,0.5,4,0.5,0.5,0.5833333333333333,1.0,0.625,0.5833333333333333
100,11,high,low,0.95,3,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0
100,11,high,medium,0.0,1000,0.841,0.54,0.4699999999999983,1.0,0.5955,0.5066666666666659
100,11,high,medium,0.5,4,0.5,0.5,0.5833333333333333,1.0,0.625,0.6666666666666666
100,11,high,medium,0.95,3,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0
100,11,high,high,0.0,1000,0.829,0.538,0.4726666666666652,1.0,0.596,0.5066666666666656
100,11,high,high,0.5,4,0.5,0.5,0.5,1.0,0.625,0.6666666666666666
100,11,high,high,0.95,3,1.0,0.6666666666666666,1.0,1.0,0.5,1.0
100,15,low,low,0.0,1000,0.884,0.5375,0.4319999999999978,1.0,0.584,0.4713333333333316
100,15,low,medium,0.0,1000,0.791,0.5135,0.4293333333333318,1.0,0.5635,0.46399999999999825
100,15,low,high,0.0,1000,0.541,0.423,0.3853333333333317,0.992,0.554,0.44566666666666405
100,15,medium,low,0.0,1000,0.885,0.536,0.4309999999999977,1.0,0.584,0.47299999999999826
100,15,medium,medium,0.0,1000,0.855,0.527,0.4363333333333311,1.0,0.5795,0.47033333333333177
100,15,medium,high,0.0,1000,0.791,0.5135,0.4293333333333318,1.0,0.5635,0.46399999999999825
100,15,high,low,0.0,1000,0.889,0.5345,0.43166666666666437,1.0,0.5815,0.4693333333333313
100,15,high,medium,0.0,1000,0.88,0.537,0.43233333333333124,1.0,0.5865,0.4713333333333315
100,15,high,high,0.0,1000,0.855,0.527,0.4363333333333311,1.0,0.5795,0.47033333333333177
200,7,low,low,0.0,1000,0.863,0.5845,0.5583333333333338,1.0,0.629,0.6086666666666667
200,7,low,low,0.5,166,0.6807228915662651,0.6355421686746988,0.6164658634538154,1.0,0.8554216867469879,0.6987951807228927
200,7,low,low,0.95,56,0.5357142857142857,0.6964285714285714,0.6428571428571427,1.0,0.9910714285714286,0.6964285714285714
200,7,low,medium,0.0,1000,0.833,0.5755,0.5553333333333339,1.0,0.628,0.5836666666666683
200,7,low,medium,0.5,166,0.6506024096385542,0.6265060240963856,0.6164658634538157,1.0,0.8463855421686747,0.6907630522088365
200,7,low,medium,0.95,56,0.5714285714285714,0.6964285714285714,0.6190476190476188,1.0,0.9910714285714286,0.7142857142857142
200,7,low,high,0.0,1000,0.756,0.554,0.5546666666666678,1.0,0.606,0.5640000000000008
200,7,low,high,0.5,166,0.5542168674698795,0.5993975903614458,0.6044176706827311,1.0,0.8012048192771084,0.6767068273092379
200,7,low,high,0.95,56,0.5,0.6696428571428571,0.6369047619047619,1.0,0.9642857142857143,0.7142857142857142
200,7,medium,low,0.0,1000,0.863,0.583,0.5553333333333338,1.0,0.631,0.6103333333333336
200,7,medium,low,0.5,166,0.6867469879518072,0.6385542168674698,0.6144578313253013,1.0,0.8433734939759037,0.6947791164658647
200,7,medium,low,0.95,56,0.5535714285714286,0.6964285714285714,0.6369047619047619,1.0,0.9910714285714286,0.6964285714285714
200,7,medium,medium,0.0,1000,0.857,0.582,0.5550000000000006,1.0,0.632,0.6013333333333342
200,7,medium,medium,0.5,166,0.6807228915662651,0.6295180722891566,0.6104417670682734,1.0,0.8524096385542169,0.6927710843373505
200,7,medium,medium,0.95,56,0.5714285714285714,0.6875,0.6488095238095238,1.0,0.9910714285714286,0.7023809523809523
200,7,medium,high,0.0,1000,0.833,0.5755,0.5553333333333339,1.0,0.628,0.5836666666666683
200,7,medium,high,0.5,166,0.6506024096385542,0.6265060240963856,0.6164658634538157,1.0,0.8463855421686747,0.6907630522088365
200,7,medium,high,0.95,56,0.5714285714285714,0.6964285714285714,0.6190476190476188,1.0,0.9910714285714286,0.7142857142857142
200,7,high,low,0.0,1000,0.864,0.582,0.5556666666666671,1.0,0.6325,0.6116666666666671
200,7,high,low,0.5,166,0.6927710843373494,0.6445783132530121,0.6144578313253012,1.0,0.8463855421686747,0.6927710843373505
200,7,high,low,0.95,56,0.5535714285714286,0.6964285714285714,0.6369047619047619,1.0,0.9910714285714286,0.6964285714285714
200,7,high,medium,0.0,1000,0.86,0.5855,0.5586666666666671,1.0,0.6295,0.6100000000000001
200,7,high,medium,0.5,166,0.6807228915662651,0.6355421686746988,0.6164658634538154,1.0,0.8554216867469879,0.6947791164658645
200,7,high,medium,0.95,56,0.5357142857142857,0.6964285714285714,0.6369047619047619,1.0,0.9910714285714286,0.7023809523809523
200,7,high,high,0.0,1000,0.857,0.582,0.5550000000000006,1.0,0.632,0.6013333333333342
200,7,high,high,0.5,166,0.6807228915662651,0.6295180722891566,0.6104417670682734,1.0,0.8524096385542169,0.6927710843373505
200,7,high,high,0.95,56,0.5714285714285714,0.6875,0.6488095238095238,1.0,0.9910714285714286,0.7023809523809523
200,11,low,low,0.0,1000,0.885,0.547,0.46833333333333166,1.0,0.6,0.5083333333333329
200,11,low,low,0.5,4,0.75,0.375,0.5,1.0,0.5,0.5
200,11,low,low,0.95,3,0.3333333333333333,0.6666666666666666,0.5555555555555555,1.0,0.6666666666666666,1.0
200,11,low,medium,0.0,1000,0.843,0.5465,0.47233333333333205,1.0,0.5865,0.49766666666666576
200,11,low,medium,0.5,4,0.5,0.5,0.5833333333333333,1.0,0.5,0.5833333333333333
200,11,low,medium,0.95,3,0.3333333333333333,0.6666666666666666,0.5555555555555555,1.0,0.6666666666666666,1.0
200,11,low,high,0.0,1000,0.729,0.519,0.46433333333333243,1.0,0.563,0.48999999999999877
200,11,low,high,0.5,4,0.5,0.5,0.5833333333333333,1.0,0.5,0.5
200,11,low,high,0.95,3,0.3333333333333333,0.6666666666666666,0.5555555555555555,1.0,0.6666666666666666,0.8888888888888888
200,11,medium,low,0.0,1000,0.885,0.548,0.47033333333333155,1.0,0.5995,0.5056666666666664
200,11,medium,low,0.5,4,0.75,0.375,0.5,1.0,0.5,0.5
200,11,medium,low,0.95,3,0.3333333333333333,0.5,0.5555555555555555,1.0,0.6666666666666666,1.0
200,11,medium,medium,0.0,1000,0.878,0.547,0.46866666666666523,1.0,0.597,0.4999999999999994
200,11,medium,medium,0.5,4,0.75,0.375,0.5,1.0,0.5,0.5
200,11,medium,medium,0.95,3,0.3333333333333333,0.6666666666666666,0.5555555555555555,1.0,0.6666666666666666,1.0
200,11,medium,high,0.0,1000,0.843,0.5465,0.47233333333333205,1.0,0.5865,0.49766666666666576
200,11,medium,high,0.5,4,0.5,0.5,0.5833333333333333,1.0,0.5,0.5833333333333333
200,11,medium,high,0.95,3,0.3333333333333333,0.6666666666666666,0.5555555555555555,1.0,0.6666666666666666,1.0
200,11,high,low,0.0,1000,0.886,0.5485,0.4719999999999983,1.0,0.602,0.5023333333333327
200,11,high,low,0.5,4,0.75,0.375,0.5,1.0,0.5,0.5
200,11,high,low,0.95,3,0.3333333333333333,0.5,0.5555555555555555,1.0,0.6666666666666666,1.0
200,11,high,medium,0.0,1000,0.886,0.547,0.467666666666665,1.0,0.6,0.5076666666666665
200,11,high,medium,0.5,4,0.75,0.375,0.5,1.0,0.5,0.5
200,11,high,medium,0.95,3,0.3333333333333333,0.6666666666666666,0.5555555555555555,1.0,0.6666666666666666,1.0
200,11,high,high,0.0,1000,0.878,0.547,0.46866666666666523,1.0,0.597,0.4999999999999994
200,11,high,high,0.5,4,0.75,0.375,0.5,1.0,0.5,0.5
200,11,high,high,0.95,3,0.3333333333333333,0.6666666666666666,0.5555555555555555,1.0,0.6666666666666666,1.0
200,15,low,low,0.0,1000,0.924,0.538,0.4296666666666637,1.0,0.5745,0.4709999999999984
200,15,low,medium,0.0,1000,0.875,0.532,0.42733333333333046,1.0,0.5705,0.4596666666666645
200,15,low,high,0.0,1000,0.702,0.4785,0.41033333333333094,1.0,0.5565,0.4453333333333309
200,15,medium,low,0.0,1000,0.927,0.538,0.42966666666666364,1.0,0.575,0.4686666666666652
200,15,medium,medium,0.0,1000,0.913,0.5365,0.43066666666666353,1.0,0.5685,0.46799999999999836
200,15,medium,high,0.0,1000,0.875,0.532,0.42733333333333046,1.0,0.5705,0.4596666666666645
200,15,high,low,0.0,1000,0.929,0.5385,0.42866666666666353,1.0,0.5745,0.46766666666666523
200,15,high,medium,0.0,1000,0.922,0.538,0.4309999999999968,1.0,0.5755,0.4719999999999985
200,15,high,high,0.0,1000,0.913,0.5365,0.43066666666666353,1.0,0.5685,0.46799999999999836
